community,aclew_child_id,age_mo_round,Sample,mean.ods_mph,mean.tds_mph
TS,0643,2,Random,24.549333333333333,0.8266666666666667
TS,0643,2,Turn taking,22.384,8.161999999999999
TS,2109,7,Random,3.568,4.6626666666666665
TS,2109,7,Turn taking,1.3699999999999999,14.434
TS,2625,32,Random,12.876,4.1626666666666665
TS,2625,32,Turn taking,7.202,15.384
TS,3026,36,Random,17.522666666666666,2.518666666666667
TS,3026,36,Turn taking,5.614,7.3180000000000005
TS,6216,27,Random,10.465333333333334,6.545333333333334
TS,6216,27,Turn taking,7.066,20.186
TS,7176,4,Random,18.077333333333332,1.0866666666666664
TS,7176,4,Turn taking,11.911999999999999,13.475999999999999
TS,7220,22,Random,42.8,5.798666666666667
TS,7220,22,Turn taking,12.322,9.14
TS,7326,14,Random,15.254666666666667,4.936
TS,7326,14,Turn taking,8.448,11.148
TS,8179,6,Random,38.614666666666665,1.78
TS,8179,6,Turn taking,18.546,19.764
TS,8787,11,Random,26.752,3.996
TS,8787,11,Turn taking,24.42,13.83
YD,1143,8,Random,47.04533333333333,2.6986666666666665
YD,1143,8,Turn taking,60.18,11.136
YD,2977,13,Random,53.781333333333336,3.9866666666666664
YD,2977,13,Turn taking,44.662,15.194
YD,3729,3.5,Random,51.82933333333333,3.2079999999999997
YD,3729,3.5,Turn taking,33.372,16.03
YD,3956,26,Random,26.735999999999997,6.261333333333333
YD,3956,26,Turn taking,6.684,14.952
YD,4569,20,Random,27.413333333333334,1.8213333333333335
YD,4569,20,Turn taking,20.526,9.608
YD,5019,36,Random,26.629333333333335,4.112
YD,5019,36,Turn taking,15.18,11.052
YD,6934,17,Random,31.018666666666668,1.5759999999999998
YD,6934,17,Turn taking,23.784,18.54
YD,8018,9,Random,33.717333333333336,2.1173333333333333
YD,8018,9,Turn taking,18.144000000000002,18.732
YD,8427,1,Random,20.202666666666666,2.312
YD,8427,1,Turn taking,18.654,16.236
YD,9732,4.5,Random,40.632,3.218666666666667
YD,9732,4.5,Turn taking,11.564,13.046000000000001
